servo1 servo2 servo3 distance row column
0 0 90 50 0 0
2 0 90 50 0 1
4 0 90 51 0 2
6 0 90 49 0 3
9 0 90 50 0 4
11 0 90 50 0 5
13 0 90 50 0 6
15 0 90 51 0 7
18 0 90 50 0 8
20 0 90 53 0 9
22 0 90 52 0 10
24 0 90 50 0 11
27 0 90 44 0 12
29 0 90 45 0 13
31 0 90 56 0 14
33 0 90 57 0 15
36 0 90 117 0 16
38 0 90 111 0 17
40 0 90 57 0 18
42 0 90 53 0 19
45 0 90 57 0 20
47 0 90 58 0 21
49 0 90 326 0 22
51 0 90 317 0 23
54 0 90 184 0 24
56 0 90 188 0 25
58 0 90 285 0 26
60 0 90 279 0 27
63 0 90 272 0 28
65 0 90 263 0 29
67 0 90 257 0 30
69 0 90 254 0 31
72 0 90 250 0 32
74 0 90 243 0 33
76 0 90 241 0 34
78 0 90 238 0 35
81 0 90 236 0 36
83 0 90 233 0 37
85 0 90 232 0 38
87 0 90 231 0 39
90 0 90 229 0 40
92 0 90 229 0 41
94 0 90 228 0 42
96 0 90 228 0 43
99 0 90 229 0 44
101 0 90 228 0 45
103 0 90 228 0 46
105 0 90 229 0 47
108 0 90 229 0 48
110 0 90 231 0 49
112 0 90 231 0 50
114 0 90 163 0 51
117 0 90 174 0 52
119 0 90 303 0 53
121 0 90 303 0 54
123 0 90 310 0 55
126 0 90 312 0 56
128 0 90 320 0 57
130 0 90 504 0 58
132 0 90 498 0 59
135 0 90 518 0 60
137 0 90 776 0 61
139 0 90 774 0 62
141 0 90 574 0 63
144 0 90 389 0 64
146 0 90 381 0 65
148 0 90 382 0 66
150 0 90 392 0 67
153 0 90 384 0 68
155 0 90 102 0 69
157 0 90 100 0 70
159 0 90 111 0 71
162 0 90 113 0 72
164 0 90 119 0 73
166 0 90 120 0 74
168 0 90 114 0 75
171 0 90 84 0 76
173 0 90 81 0 77
175 0 90 86 0 78
177 0 90 78 0 79
177 2 90 84 1 79
175 2 90 81 1 78
173 2 90 83 1 77
171 2 90 84 1 76
168 2 90 86 1 75
166 2 90 455 1 74
164 2 90 463 1 73
162 2 90 105 1 72
159 2 90 104 1 71
157 2 90 469 1 70
155 2 90 468 1 69
153 2 90 438 1 68
150 2 90 415 1 67
148 2 90 402 1 66
146 2 90 379 1 65
144 2 90 374 1 64
141 2 90 375 1 63
139 2 90 609 1 62
137 2 90 628 1 61
135 2 90 611 1 60
132 2 90 569 1 59
130 2 90 549 1 58
128 2 90 295 1 57
126 2 90 317 1 56
123 2 90 310 1 55
121 2 90 306 1 54
119 2 90 304 1 53
117 2 90 298 1 52
114 2 90 296 1 51
112 2 90 288 1 50
110 2 90 227 1 49
108 2 90 229 1 48
105 2 90 228 1 47
103 2 90 227 1 46
101 2 90 227 1 45
99 2 90 226 1 44
96 2 90 226 1 43
94 2 90 226 1 42
92 2 90 226 1 41
90 2 90 227 1 40
87 2 90 227 1 39
85 2 90 229 1 38
83 2 90 229 1 37
81 2 90 231 1 36
78 2 90 233 1 35
76 2 90 237 1 34
74 2 90 238 1 33
72 2 90 241 1 32
69 2 90 245 1 31
67 2 90 251 1 30
65 2 90 253 1 29
63 2 90 259 1 28
60 2 90 265 1 27
58 2 90 273 1 26
56 2 90 281 1 25
54 2 90 287 1 24
51 2 90 293 1 23
49 2 90 216 1 22
47 2 90 320 1 21
45 2 90 295 1 20
42 2 90 54 1 19
40 2 90 53 1 18
38 2 90 54 1 17
36 2 90 55 1 16
33 2 90 446 1 15
31 2 90 37 1 14
29 2 90 59 1 13
27 2 90 48 1 12
24 2 90 48 1 11
22 2 90 47 1 10
20 2 90 48 1 9
18 2 90 53 1 8
15 2 90 51 1 7
13 2 90 50 1 6
11 2 90 50 1 5
9 2 90 50 1 4
6 2 90 52 1 3
4 2 90 51 1 2
2 2 90 51 1 1
0 2 90 50 1 0
0 4 90 73 2 0
2 4 90 59 2 1
4 4 90 52 2 2
6 4 90 51 2 3
9 4 90 51 2 4
11 4 90 52 2 5
13 4 90 52 2 6
15 4 90 51 2 7
18 4 90 51 2 8
20 4 90 53 2 9
22 4 90 54 2 10
24 4 90 48 2 11
27 4 90 44 2 12
29 4 90 44 2 13
31 4 90 45 2 14
33 4 90 47 2 15
36 4 90 449 2 16
38 4 90 407 2 17
40 4 90 57 2 18
42 4 90 53 2 19
45 4 90 57 2 20
